MQ2,MQ7,MQ135,Quality
786,215,776,59
2,165,334,48
920,191,906,76
498,431,762,8
112,454,201,51
837,898,207,86
748,800,480,63
890,461,731,98
602,282,345,90
638,462,888,95
338,185,294,52
566,729,344,60
66,990,389,66
546,516,635,51
1,92,486,40
758,413,679,9
315,407,548,46
974,521,703,11
872,620,780,53
533,167,935,71
825,880,785,34
609,772,507,67
367,1,619,55
405,847,618,5
558,541,98,13
834,608,547,90
780,695,536,37
840,239,546,63
163,700,798,11
961,894,766,27
270,267,835,45
655,493,557,36
79,622,24,57
661,450,191,10
363,671,558,2
36,594,55,52
366,247,27,99
933,383,313,72
283,524,413,12
830,708,982,39
355,405,607,94
493,440,503,29
20,207,209,18
201,519,899,30
866,1000,571,90
374,310,445,42
911,422,971,20
634,593,222,74
74,853,918,42
194,577,194,24
32,423,397,11
192,230,72,28
385,152,697,85
511,604,886,96
664,642,181,88
8,621,956,72
877,999,325,74
332,919,939,21
76,806,132,62
13,119,426,86
721,907,578,51
579,427,986,97
828,88,39,20
88,168,990,8
869,628,828,9
589,134,198,95
999,322,609,100
396,506,753,67
572,520,398,13
334,796,433,8
683,711,681,91
865,464,706,6
471,549,12,19
399,136,660,60
346,892,597,12
50,561,280,48
558,726,597,68
143,985,306,39
320,415,766,93
719,19,27,11
473,812,37,94
86,777,365,49
971,670,442,47
383,283,972,71
844,481,221,81
10,692,736,24
586,546,535,18
981,640,731,83
502,166,371,3
929,263,428,36
77,519,743,86
652,560,154,85
300,203,924,5
266,345,291,91
214,187,938,8
736,217,502,50
598,539,274,96
889,675,719,45
152,590,942,27
866,68,45,86
118,610,970,97
336,192,613,54
971,115,485,81
99,817,57,65
925,417,922,87
19,694,492,32
770,465,861,68
514,625,785,84
276,646,685,58
845,404,412,6
341,534,715,27
663,82,3,78
43,903,74,72
482,900,910,95
584,146,61,15
946,442,151,32
375,876,46,77
940,85,71,1
316,787,731,33
877,39,521,28
336,267,20,44
448,846,220,46
306,543,303,86
833,69,358,70
272,927,140,74
994,885,720,78
254,162,601,3
980,809,548,58
882,748,156,62
825,872,161,4
891,344,588,68
119,993,404,71
57,908,179,23
51,613,172,35
308,488,550,43
178,741,654,25
824,965,693,49
891,897,578,14
865,887,741,33
407,527,119,67
781,358,943,72
997,550,174,70
316,280,455,60
649,686,685,58
629,165,927,61
36,678,234,93
377,354,776,78
317,452,631,94
294,852,151,12
1000,884,673,39
317,645,754,18
603,423,471,67
735,479,784,91
432,630,433,50
611,820,215,93
680,925,941,47
527,29,324,15
